hand,players,won,played,prob
AAo,2,55330,62258,0.888721128208423
KKo,2,52986,61778,0.857683965165593
QQo,2,50628,62019,0.8163304793692255
JJo,2,47819,61462,0.7780254466174221
AKs,2,30156,41007,0.735386641305143
TTo,2,44683,61158,0.7306157820726642
AQs,2,29800,41179,0.7236698317103378
AKo,2,88818,122984,0.7221915045859624
AJs,2,29691,41167,0.7212330264532271
AQo,2,88170,123605,0.7133206585494114
ATs,2,29302,41136,0.7123201089070401
AJo,2,86755,123045,0.7050672518184404
ATo,2,85807,122868,0.6983673535827066
KQs,2,28709,41145,0.6977518532020902
A9s,2,28304,40995,0.6904256616660568
A8s,2,28296,41261,0.6857807614939047
KJs,2,28156,41143,0.6843448460248401
KQo,2,84279,124088,0.6791873509122558
99o,2,41987,61870,0.6786326167771133
A9o,2,83636,123379,0.677878731388648
A7s,2,27739,41104,0.6748491630984819
KTs,2,27787,41269,0.6733141098645472
A6s,2,27541,41066,0.6706521209759899
A8o,2,82456,123420,0.6680926916221034
KJo,2,82360,123453,0.6671364810899695
A5s,2,27101,40809,0.6640937048200152
KTo,2,81137,122839,0.6605149830265632
A7o,2,81198,123050,0.6598780983340106
QJs,2,26948,40949,0.6580868885687075
K9s,2,26930,40962,0.6574386016307797
A4s,2,26709,41165,0.6488278877687356
A6o,2,80095,123460,0.6487526324315568
K8s,2,26362,41139,0.6408031308490727
A5o,2,78948,123336,0.6401050788091068
QTs,2,26333,41220,0.6388403687530325
A3s,2,26363,41275,0.6387159297395518
K9o,2,78752,123345,0.6384693339819206
QJo,2,78198,123178,0.634837389793632
A2s,2,26195,41305,0.6341847233991043
A4o,2,78295,123920,0.6318189154293092
K7s,2,26096,41405,0.630262045646661
88o,2,38739,61665,0.6282169788372659
K6s,2,25644,41036,0.6249147090359685
QTo,2,77076,123765,0.6227608774693977
A3o,2,76567,122979,0.6226022329015523
Q9s,2,25576,41096,0.6223476737395367
K8o,2,76763,123459,0.6217691703318511
JTs,2,25309,41165,0.6148184137009596
A2o,2,75933,123686,0.6139175007680739
K7o,2,75626,123243,0.6136332286620741
K5s,2,25227,41152,0.6130200233281493
Q9o,2,74770,123547,0.6051947841712061
Q8s,2,24869,41108,0.6049674029386007
K4s,2,24680,40948,0.6027156393474651
K6o,2,74501,123645,0.6025395284888188
K3s,2,24726,41134,0.6011085719842466
J9s,2,24654,41102,0.5998248260425283
JTo,2,73526,123495,0.5953763310255475
K5o,2,72680,123182,0.5900212693412998
Q7s,2,24139,41085,0.5875380309115249
Q8o,2,72409,123305,0.5872349053160861
K2s,2,24119,41149,0.586138180757734
K4o,2,71628,122993,0.5823746066849332
Q6s,2,24080,41498,0.5802689286230662
77o,2,35634,61641,0.5780892587725702
K3o,2,71074,123472,0.5756284825709472
J8s,2,23521,40946,0.5744395056904216
J9o,2,70781,123573,0.5727869356574656
T9s,2,23561,41314,0.5702909425376386
Q5s,2,23636,41452,0.570201679050468
Q7o,2,70077,123070,0.5694076541805476
Q4s,2,22958,40836,0.5622000195905573
